School_ID,Instruction_Icon,Instruction_Score
400018,Weak,33
609674,Weak,30
609676,Weak,37
609678,Strong,67
609679,Average,51
609680,Strong,77
609682,Very Weak,19
609691,Weak,25
609692,Average,42
609693,Very Strong,80
609694,Average,41
609695,Average,42
609698,Weak,29
609702,Average,48
609704,Weak,32
609705,Weak,32
609707,Average,40
609708,Weak,23
609709,Weak,37
609710,NDA,
609711,Average,42
609712,Weak,28
609713,Average,43
609715,Weak,35
609716,Weak,28
609718,Weak,27
609719,Average,43
609720,Average,52
609722,Weak,31
609723,Average,46
609724,Average,47
609725,Weak,38
609726,Average,49
609727,NDA,
609728,Weak,37
609729,Weak,29
609730,Average,42
609732,Weak,34
609733,Weak,34
609734,Weak,32
609735,Weak,37
609736,Average,47
609737,Average,51
609738,Average,49
609739,Weak,36
609740,Weak,38
609741,Weak,29
609744,Weak,34
609745,NDA,
609746,Average,56
609749,Very Strong,88
609751,NDA,
609753,Average,47
609754,Weak,35
609755,Strong,67
609756,Average,45
609759,Weak,34
609760,Weak,34
609761,Average,48
609762,Weak,35
609764,Average,45
609766,Weak,20
609768,Average,44
609769,Weak,39
609772,Average,46
609773,Weak,21
609774,NDA,
609775,Average,58
609777,Very Weak,14
609779,Strong,64
609780,Weak,35
609781,Average,57
609782,Strong,60
609786,Weak,32
609788,Average,58
609789,Very Strong,81
609790,Weak,34
609791,Average,57
609792,Average,47
609793,Strong,73
609794,Average,56
609795,Weak,36
609796,Average,47
609797,Average,58
609798,Strong,69
609799,Average,46
609800,Strong,66
609803,Strong,74
609804,Average,48
609805,Average,53
609806,Average,50
609807,Weak,28
609808,Strong,60
609809,Average,46
609810,Weak,35
609811,Weak,27
609812,Strong,78
609813,Very Strong,82
609815,Average,50
609817,Weak,38
609818,Weak,34
609819,Weak,22
609820,Strong,65
609821,Very Strong,99
609826,Weak,20
609827,Strong,70
609828,Average,51
609829,Weak,38
609830,Average,45
609832,Weak,38
609833,Average,44
609834,Strong,66
609835,Average,50
609836,Strong,64
609837,Strong,63
609839,Very Weak,12
609842,Average,56
609844,Weak,35
609845,Weak,30
609848,Weak,39
609849,Weak,36
609850,Weak,38
609851,Average,45
609852,Average,51
609853,Weak,39
609854,Very Strong,99
609855,NDA,
609856,Weak,30
609857,Average,47
609859,Average,52
609861,Strong,61
609862,Average,54
609863,Average,55
609864,NDA,
609865,Average,49
609866,Weak,39
609867,NDA,
609869,Weak,32
609870,Weak,29
609871,NDA,
609872,Average,45
609873,Average,52
609874,Very Weak,1
609875,Weak,34
609876,Average,46
609879,Weak,30
609880,Very Strong,99
609881,Average,52
609883,Average,51
609884,Strong,78
609885,Weak,35
609887,Average,52
609888,Strong,73
609891,Average,46
609893,Strong,79
609894,Average,46
609895,Average,51
609896,Average,46
609897,Strong,71
609898,Weak,34
609899,Average,50
609900,Average,58
609901,Average,53
609902,NDA,
609903,Average,41
609904,Average,55
609906,Strong,71
609907,Average,52
609908,Average,43
609909,NDA,
609910,Weak,27
609912,Weak,38
609913,Average,56
609916,Strong,63
609917,Average,43
609918,Weak,37
609919,Average,55
609920,Average,48
609921,Weak,22
609922,Strong,66
609924,Strong,71
609925,Average,45
609926,Average,55
609927,Weak,22
609928,Weak,33
609929,Strong,63
609930,Very Weak,16
609932,NDA,
609933,Weak,27
609935,Weak,32
609937,Average,51
609938,Weak,28
609939,Average,45
609941,Average,48
609942,Average,52
609943,Average,52
609944,Strong,64
609945,Strong,61
609947,Weak,33
609949,Weak,35
609950,NDA,
609951,NDA,
609952,NDA,
609954,Average,43
609955,Very Weak,11
609956,Average,59
609958,Average,45
609959,Weak,37
609960,Average,56
609961,Average,55
609963,Average,59
609964,Average,43
609966,Average,43
609967,Average,52
609968,NDA,
609969,Strong,76
609971,Strong,61
609972,Average,49
609973,Average,42
609974,Average,56
609975,Strong,61
609976,Average,44
609977,Strong,66
609978,Very Weak,1
609979,Weak,36
609981,Weak,27
609983,Weak,24
609985,Strong,63
609986,Weak,38
609987,Strong,78
609988,Average,43
609989,Strong,72
609990,Weak,36
609991,Strong,65
609993,Weak,37
609994,NDA,
609995,Average,58
609996,Weak,35
609997,Average,41
610000,Strong,69
610002,Strong,73
610003,Average,54
